"CDD Cachoeiro","GEO RJ/ES","37.870","ROTA","986","2019-01-01 00:00:00","TOTAL"
"CDD Campos","GEO RJ/ES","32.831","ROTA","539","2019-01-01 00:00:00","TOTAL"
"CDD Jacarepagua","GEO RJ/ES","134.801","ROTA","538","2019-01-01 00:00:00","TOTAL"
"CDD Niteroi","GEO RJ/ES","109.789","ROTA","724","2019-01-01 00:00:00","TOTAL"
"CDD Pavuna","GEO RJ/ES","57.278","ROTA","958","2019-01-01 00:00:00","TOTAL"
"CDD Petropolis","GEO RJ/ES","40.641","ROTA","86","2019-01-01 00:00:00","TOTAL"
"CDD S.Cristovao","GEO RJ/ES","80.956","ROTA","575","2019-01-01 00:00:00","TOTAL"
"CDD Vitória","GEO RJ/ES","95.674","ROTA","438","2019-01-01 00:00:00","TOTAL"
"CDD VR","GEO RJ/ES","46.597","ROTA","81","2019-01-01 00:00:00","TOTAL"
"CDL Itaperuna","GEO RJ/ES","22.351","ROTA","495","2019-01-01 00:00:00","TOTAL"
"CRBS CDDNIguacu","GEO RJ/ES","55.294","ROTA","61","2019-01-01 00:00:00","TOTAL"
"CD Bebedouro","GEO SP","30.465","ROTA","83","2019-01-01 00:00:00","TOTAL"
"CD F. Agudos","GEO SP","24.658","ROTA","902","2019-01-01 00:00:00","TOTAL"
"CDD Aracatuba","GEO SP","34.432","ROTA","811","2019-01-01 00:00:00","TOTAL"
"CDD Araraquara","GEO SP","26.503","ROTA","763","2019-01-01 00:00:00","TOTAL"
"CDD Barueri","GEO SP","45.298","ROTA","303","2019-01-01 00:00:00","TOTAL"
"CDD Campinas","GEO SP","93.136","ROTA","230","2019-01-01 00:00:00","TOTAL"
"CDD Diadema","GEO SP","76.595","ROTA","216","2019-01-01 00:00:00","TOTAL"
"CDD EMBU","GEO SP","53.561","ROTA","970","2019-01-01 00:00:00","TOTAL"
"CDD Guarulhos","GEO SP","39.213","ROTA","764","2019-01-01 00:00:00","TOTAL"
"CDD Jau","GEO SP","22.109","ROTA","977","2019-01-01 00:00:00","TOTAL"
"CDD Jundiai","GEO SP","26.514","ROTA","231","2019-01-01 00:00:00","TOTAL"
"CDD LITORAL","GEO SP","24.864","ROTA","137","2019-01-01 00:00:00","TOTAL"
"CDD Maua","GEO SP","39.839","ROTA","301","2019-01-01 00:00:00","TOTAL"
"CDD Mooca","GEO SP","150.185","ROTA","204","2019-01-01 00:00:00","TOTAL"
"CDD Norte","GEO SP","38.932","ROTA","771","2019-01-01 00:00:00","TOTAL"
"CDD P Prudente","GEO SP","32.110","ROTA","543","2019-01-01 00:00:00","TOTAL"
"CDD PraiaGrande","GEO SP","33.659","ROTA","578","2019-01-01 00:00:00","TOTAL"
"CDD Rib. Preto","GEO SP","67.168","ROTA","956","2019-01-01 00:00:00","TOTAL"
"CDD S J Campos","GEO SP","26.466","ROTA","966","2019-01-01 00:00:00","TOTAL"
"CDD Sul SP","GEO SP","- 0","ROTA","","2019-01-01 00:00:00","TOTAL"
"CDD Suzano","GEO SP","37.945","ROTA","297","2019-01-01 00:00:00","TOTAL"
"CDD Votorantin","GEO SP","24.203","ROTA","242","2019-01-01 00:00:00","TOTAL"
"CDL Taubate","GEO SP","13.063","ROTA","968","2019-01-01 00:00:00","TOTAL"
"CRBS CDDMMirim","GEO SP","36.748","ROTA","944","2019-01-01 00:00:00","TOTAL"
"CD Curitiba","GEO SUL","73.542","ROTA","619","2019-01-01 00:00:00","TOTAL"
"CD Porto Aleg","GEO SUL","96.154","ROTA","713","2019-01-01 00:00:00","TOTAL"
"CDD Beltrao","GEO SUL","49.943","ROTA","143","2019-01-01 00:00:00","TOTAL"
"CDD Caxias","GEO SUL","11.966","ROTA","129","2019-01-01 00:00:00","TOTAL"
"CDD Florianop.","GEO SUL","55.964","ROTA","50","2019-01-01 00:00:00","TOTAL"
"CDD Foz do Igua","GEO SUL","- 0","ROTA","","2019-01-01 00:00:00","TOTAL"
"CDD Londrina","GEO SUL","49.320","ROTA","112","2019-01-01 00:00:00","TOTAL"
"CDD Pelotas","GEO SUL","26.641","ROTA","118","2019-01-01 00:00:00","TOTAL"
"CDD PontaGrossa","GEO SUL","29.036","ROTA","975","2019-01-01 00:00:00","TOTAL"
"CDD S J Pinhais","GEO SUL","20.265","ROTA","209","2019-01-01 00:00:00","TOTAL"
"CDD Sapucaia","GEO SUL","58.533","ROTA","54","2019-01-01 00:00:00","TOTAL"
"CDDStaCruzdoSul","GEO SUL","20.141","ROTA","418","2019-01-01 00:00:00","TOTAL"
"CDDStaMaria","GEO SUL","18.812","ROTA","190","2019-01-01 00:00:00","TOTAL"
"CDL Paranagua","GEO SUL","20.446","ROTA","725","2019-01-01 00:00:00","TOTAL"
"CRBS CDBlumenau","GEO SUL","35.888","ROTA","928","2019-01-01 00:00:00","TOTAL"
"CRBS CDCamboriu","GEO SUL","55.834","ROTA","926","2019-01-01 00:00:00","TOTAL"
"CDC Caceres","GEO CO","13.661","ROTA","448","2019-02-01 00:00:00","TOTAL"
"CDC Catalao","GEO CO","8.558","ROTA","783","2019-02-01 00:00:00","TOTAL"
"CDC Colider","GEO CO","14.817","ROTA","465","2019-02-01 00:00:00","TOTAL"
"CDC Formosa","GEO CO","12.573","ROTA","732","2019-02-01 00:00:00","TOTAL"
"CDC Itumbiara","GEO CO","8.672","ROTA","77","2019-02-01 00:00:00","TOTAL"
"CDC Rio Branco","GEO CO","6.326","ROTA","572","2019-02-01 00:00:00","TOTAL"
